,channel1,channel2,series1,series2,duration1,duration2,"cc_4,0","cc_4,1","cc_4,2","cc_4,3","cc_3,0","cc_3,1","cc_3,2","cc_2,0","cc_2,1","cc_1,0",min_cc,mean_cc
0,ch1,ch1,1,1,"0,1","0,1",0.9882666544096607,0.928602807962484,0.9486280702913008,0.8814818542770623,0.9337658028679706,0.9894180652285011,0.8752904751184163,0.9489029459384237,0.9106588274311402,0.971565617331603,0.8752904751184163,0.9376581120856564
1,ch2,ch2,1,1,"0,1","0,1",0.999931601654138,0.9999613587365426,0.9999752505789141,0.9999840924472834,0.9999512484376124,0.9999734452835503,0.9999803098074744,0.999967519969289,0.9999799835150089,0.9999783141256753,0.999931601654138,0.9999683124555488
2,ch1,ch1,2,2,"0,1","0,1",0.9722024783001022,0.8979591463835315,0.8993546999548164,0.9924060729385258,0.9886515721362854,0.882519254007825,0.9166136155353855,0.9508102578709102,0.9036304771123851,0.8775618578632242,0.8775618578632242,0.9281709432102991
3,ch2,ch2,2,2,"0,1","0,1",0.6036280238940004,0.6042466770390759,0.5986334886101432,0.6061119573933681,0.9858050492184525,0.9894037600641777,0.9852524791762457,0.9888761544105672,0.9847568035595852,0.9853036016456452,0.5986334886101432,0.8332017995011262
4,ch1,ch1,3,3,"0,1","0,1",0.929203151238388,0.9046613291635196,0.8922154069558016,0.8797097090296935,0.8569294728625705,0.9845431717152656,0.9667960011285412,0.8192132796703082,0.9691596255993147,0.8995602391058235,0.8192132796703082,0.9101991386469226
5,ch2,ch2,3,3,"0,1","0,1",0.9759785210052667,0.9848993000628055,0.9993556263295955,0.9995105045823618,0.9761020125293864,0.9850979484178437,0.9995201776695304,0.9762270957270787,0.985208340382916,0.9979367032140642,0.9759785210052667,0.9879836229920848
6,ch1,ch1,1,1,"0,3","0,3",0.9129060836529952,0.8977999103780491,0.8925641690106538,0.9960399685984865,0.8970044594963755,0.9008696916016563,0.8952107952381099,0.879520031558175,0.9961260065295223,0.8668296620943718,0.8668296620943718,0.9134870778158394
7,ch2,ch2,1,1,"0,3","0,3",0.9861665376391127,0.9876231265771396,0.9879878327490546,0.9859229816168191,0.9867198257307698,0.9861822537734555,0.9879673035634162,0.9875084273582165,0.9872090551480027,0.9869330047933242,0.9859229816168191,0.987022034894931
8,ch1,ch1,2,2,"0,3","0,3",0.8908777959864889,0.8737702911907426,0.9883149871900955,0.9210539573928208,0.9921788430733104,0.923450742340792,0.9552798614775743,0.9266143618457136,0.8773566808075122,0.9382027265844164,0.8737702911907426,0.9287100247889466
9,ch2,ch2,2,2,"0,3","0,3",0.9920681210699903,0.9842546665790386,0.9927532960927907,0.9921504209408802,0.9906710156349929,0.9856562865225703,0.9917328161063443,0.9912226253575936,0.987371482109244,0.9863158161628028,0.9842546665790386,0.9894196546576248
10,ch1,ch1,3,3,"0,3","0,3",0.9545948149958343,0.912087664555473,0.9773930265191353,0.9402518589707984,0.9538507757631742,0.9105200306882195,0.9456311514079556,0.9300841917012046,0.9471449255882907,0.9106325944302476,0.9105200306882195,0.9382191034620332
11,ch2,ch2,3,3,"0,3","0,3",0.9857877149615506,0.9860273801824019,0.9856550699159305,0.9879752125386349,0.9850347951445746,0.9870451530904228,0.9871937981317451,0.9861572218257881,0.9870697780330911,0.9872553403131813,0.9850347951445746,0.9865201464137321
12,ch1,ch1,1,1,"0,8","0,8",0.9087838242898216,0.8640414719661991,0.9996558579997042,0.9993636022433786,0.903325651817872,0.8617566804422685,0.9999111098163773,0.9050515054871501,0.8622157426021012,0.8763988294800584,0.8617566804422685,0.918050427614493
13,ch2,ch2,1,1,"0,8","0,8",0.9995753704475455,0.9996460089177417,0.9996585184135109,0.9997291392860921,0.9996518925472156,0.9997174619897452,0.99973613733504,0.9996736955593564,0.9997603360978491,0.9997116665981056,0.9995753704475455,0.9996860227192202
14,ch1,ch1,2,2,"0,8","0,8",0.9516151893546325,0.9426827960527563,0.9378008946012213,0.92341031048599,0.8328872458154466,0.8270801979134657,0.8976802250452564,0.9169974319553805,0.9118380924462122,0.9993536837298576,0.8270801979134657,0.9141346067400219
15,ch2,ch2,2,2,"0,8","0,8",0.9998745402949126,0.9999077265417804,0.9999164736430525,0.9999147020066601,0.9998846300695856,0.9999195590190376,0.9999296726553989,0.9998996923357564,0.9999295375598704,0.9999124708838476,0.9998745402949126,0.9999089005009901
16,ch1,ch1,3,3,"0,8","0,8",0.8982118427958169,0.8133154193876985,0.9944848290820445,0.9848053562775491,0.8821562336988682,0.8362023473722402,0.9640704935865456,0.9146221529657786,0.8126637287975024,0.9551566569975226,0.8126637287975024,0.9055689060961566
17,ch2,ch2,3,3,"0,8","0,8",0.9997513042866366,0.999818268388566,0.9998580757941036,0.9998868757113875,0.9998114212711988,0.9998621630676561,0.999904634598451,0.9998622564131934,0.9998900617815877,0.9998738512832288,0.9997513042866366,0.9998518912596008
18,ch1,ch1,1,1,100,100,0.6897189641473684,0.7512391833243854,0.6574873181542225,0.660304689598447,0.8113560112079676,0.6424378125555443,0.839343098627532,0.8433394566966228,0.6359665805824287,0.6398479022217107,0.6359665805824287,0.7171041017116231
19,ch2,ch2,1,1,100,100,0.7582935816115226,0.8010150261165776,0.7990290566720519,0.7445625424693255,0.9660081543879298,0.8579701451571884,0.8582098634049811,0.8568337498957947,0.9910257116091594,0.8546317957793615,0.7445625424693255,0.8487579627103893
20,ch1,ch1,2,2,100,100,0.9890864251286553,0.9340518528501897,0.8777420789474153,0.8773175136381138,0.8677932239218489,0.8968657672190625,0.9104870560464294,0.8434244387505992,0.8340000917607879,0.9632372932700664,0.8340000917607879,0.8994005741533169
21,ch2,ch2,2,2,100,100,0.9906725024107442,0.9907633442854131,0.9899927761940088,0.9908498629855523,0.992327163867348,0.992398171553529,0.9925468485229386,0.9911402420825609,0.9915503710431592,0.9918106529832657,0.9899927761940088,0.991405193592852
22,ch1,ch1,3,3,100,100,0.9233595213999783,0.9953948101351249,0.947331164936607,0.9248279173679229,0.9979373676458947,0.9051259376107308,0.8526536304971098,0.8536056795822498,0.9612420106830355,0.9040825914115578,0.8526536304971098,0.9265560631270212
23,ch2,ch2,3,3,100,100,0.9904396182576756,0.9902038781730308,0.9912352667552793,0.9906677893684767,0.9896334430847715,0.9895103980964098,0.989189673509881,0.9897661297538859,0.9890190587712634,0.9889712633093191,0.9889712633093191,0.9898636519079995
24,ch1,ch1,1,1,1000,1000,0.987267100030208,0.9580780315951638,0.9693695020098597,0.9707568566751406,0.9635266928968387,0.9568236371394376,0.9621286509935588,0.9873826808946894,0.9778319062208803,0.9636754284148017,0.9568236371394376,0.9696840486870577
25,ch2,ch2,1,1,1000,1000,0.9999838474106972,0.9999820689507607,0.9998107536161147,0.9998141614655085,0.9998022721859636,0.9997989917889047,0.9999965822357123,0.9998056919787522,0.999801419968825,0.9999965960805389,0.9997989917889047,0.9998792385681778
26,ch1,ch1,2,2,1000,1000,0.9710930631587323,0.9670416300740347,0.9635562148143286,0.9714332628913316,0.9686520201236197,0.997079763372793,0.9880865179084029,0.9616957937494622,0.9954601590081226,0.9665807993365215,0.9616957937494622,0.9750679224437349
27,ch2,ch2,2,2,1000,1000,0.99966979206723,0.9997106166214882,0.99970639389671,0.9999586515974097,0.9996543524742042,0.9996871336591493,0.999682304346402,0.9999848631236106,0.9999939784806988,0.999990174222457,0.9996543524742042,0.9998038260489359
28,ch1,ch1,3,3,1000,1000,0.9996367077958909,0.9683404784761513,0.9664861592424898,0.9695385148267075,0.9730736128210196,0.9642552475562807,0.9673651303685171,0.966881744042272,0.9956178433946954,0.9686971817143204,0.9642552475562807,0.9739892620238345
29,ch2,ch2,3,3,1000,1000,0.9999843538036934,0.9999880918424053,0.998222637371451,0.998225169206351,0.9981876221765833,0.9981965651092363,0.999997343463431,0.9981913670259652,0.9982001042044999,0.9999973568763695,0.9981876221765833,0.9989190611079986
30,ch1,ch1,1,1,2,2,0.9422483417397732,0.9305175327258951,0.9367838716514062,0.9930695613251672,0.9419677190005802,0.9327266442452808,0.9378689168544045,0.9946145172100739,0.9855494357025574,0.9906072484248956,0.9305175327258951,0.9585953788880035
31,ch2,ch2,1,1,2,2,0.9999473568410315,0.9999725394169302,0.9999831834016295,0.9999954865769387,0.999968296029451,0.9999863051076912,0.9999917430137921,0.9999859253451397,0.9999957523528482,0.9999927845042147,0.9999473568410315,0.9999819372589668
32,ch1,ch1,2,2,2,2,0.9595533056407689,0.9574944197994465,0.9610662149295652,0.995696558701473,0.9524470099618934,0.9630522248642363,0.9536276124876926,0.9977878071041142,0.9419558409929711,0.943499213657227,0.9419558409929711,0.9626180208139387
33,ch2,ch2,2,2,2,2,0.9999866445479646,0.999992526681871,0.999996022008795,0.9999981204624908,0.9999913735635552,0.9999947304143343,0.9999968208229171,0.9999926244030346,0.999997808551463,0.9999972324115373,0.9999866445479646,0.9999943903867964
34,ch1,ch1,3,3,2,2,0.9558312870726335,0.9677867480918001,0.9887630486271631,0.9884127713634028,0.9516931125447103,0.9727314837881631,0.994552064161443,0.9409773189434217,0.9635680763372259,0.9872428638879464,0.9409773189434217,0.971155877481791
35,ch2,ch2,3,3,2,2,0.9999606171785501,0.9999762696853087,0.9999860276223342,0.9999940565853935,0.9999785591384244,0.9999882114980995,0.9999952834163315,0.9999905695884608,0.9999956199915684,0.9999957141663776,0.9999606171785501,0.9999860928870847
36,ch1,ch1,1,1,20,20,0.9806242286499596,0.9884610514963257,0.9989672467980958,0.9791642428325885,0.981533268444926,0.9906579599018019,0.9773437876362581,0.9802199229028934,0.9874627018183691,0.9839614930990561,0.9773437876362581,0.9848395903580274
37,ch2,ch2,1,1,20,20,0.9999565366502364,0.9999664513855722,0.9999385300872143,0.9999423401453413,0.9999430997284908,0.9999516393335289,0.9999938947007384,0.9999497712557334,0.9999543752359277,0.9999970236715312,0.9999385300872143,0.9999593662194315
38,ch1,ch1,2,2,20,20,0.9747694874583834,0.9724500891536128,0.9778132929561849,0.9790465791682944,0.9748465319808862,0.9847643077670614,0.9771008913405463,0.9956716212076331,0.9734874615549978,0.9716640245499768,0.9716640245499768,0.9781614287137576
39,ch2,ch2,2,2,20,20,0.9998450041373917,0.9999188952288547,0.9998254877771178,0.9999456620877865,0.9999108706586308,0.9999922298800423,0.9998984243355771,0.9999785524233917,0.999896742948002,0.9999103177885513,0.9998254877771178,0.9999122187265346
40,ch1,ch1,3,3,20,20,0.9868535013494992,0.9772417043086015,0.9977517159697447,0.9779620873217746,0.9825878011611051,0.9909441862905293,0.9782370152220846,0.9898836833574092,0.9785034575779914,0.9818308674118119,0.9772417043086015,0.9841796019970552
41,ch2,ch2,3,3,20,20,0.9999504752869387,0.9999764701525654,0.9999855936103175,0.9999934054446532,0.9999610983302434,0.9999816592171362,0.9999932647980647,0.9999776089898487,0.9999919859396731,0.9999911433675734,0.9999504752869387,0.9999802705137013
42,ch1,ch1,1,1,400,400,0.9695524751641218,0.9720148839957199,0.9748196522602867,0.9754690646840032,0.9667495425429731,0.9918526374570016,0.9970783531751886,0.9701076742351642,0.9857221103696319,0.9662930782039684,0.9662930782039684,0.976965947208806
43,ch2,ch2,1,1,400,400,0.9920128194443176,0.9973910619657721,0.9997832714344802,0.9961762121019775,0.9991087267005877,0.9998330086735492,0.9977309761639219,0.994334796146068,0.9986593169398958,0.99843604282071,0.9920128194443176,0.9973466232391281
44,ch1,ch1,2,2,400,400,0.9902709145803312,0.9765289343748402,0.9823981802415674,0.9918648674832252,0.9780796606937789,0.9744326944641655,0.9951935564318386,0.9752726738513542,0.9737740189908282,0.9783636853604865,0.9737740189908282,0.9816179186472416
45,ch2,ch2,2,2,400,400,0.9951977239496612,0.9986562311449314,0.9988646321643206,0.9999936509538406,0.9954324424190046,0.9987835785761817,0.998980494340892,0.9986026803512695,0.9999637112212275,0.998851607592395,0.9951977239496612,0.9983326752713724
46,ch1,ch1,3,3,400,400,0.9654373223871654,0.971710424609277,0.9713334814989589,0.9972409966468316,0.9677878733964747,0.9732331875869678,0.9737777101805422,0.9756417129161971,0.9770292102921394,0.988928578201347,0.9654373223871654,0.9762120497715902
47,ch2,ch2,3,3,400,400,0.9861550003112005,0.9881190535892558,0.9969533797064757,0.9977702527199315,0.9948008365526981,0.9960071192733241,0.9999296319685183,0.9958970594249077,0.9969550430156555,0.9998837945518682,0.9861550003112005,0.9952471171113835
48,ch1,ch1,1,1,50,50,0.9550324479417931,0.9968262150548287,0.9631358085215547,0.9471333484643072,0.9468219876211788,0.9490003670887274,0.9887119613429163,0.9406276970835675,0.9655385610011089,0.9552795718822558,0.9406276970835675,0.9608107966002238
49,ch2,ch2,1,1,50,50,0.9999296450553903,0.999989891637654,0.9999940948557077,0.9999975932135996,0.9999357256758563,0.9999941763148481,0.9999980967424753,0.9999400360740723,0.9999967324549899,0.9999449955369658,0.9999296450553903,0.999972098756156
50,ch1,ch1,2,2,50,50,0.9779507277027992,0.9782892219370547,0.9591938875154649,0.9299606235643927,0.9194840822885036,0.9386150450942463,0.9226435478301576,0.9779007029693405,0.9438510165062415,0.9529086048542695,0.9194840822885036,0.9500797460262469
51,ch2,ch2,2,2,50,50,0.9999753164635211,0.9999784302715492,0.9999830449470254,0.9999811757621493,0.9999868958647684,0.9999904220062001,0.9999967877293988,0.9999924165027425,0.9999948288132908,0.9999977340810834,0.9999753164635211,0.9999877052441727
52,ch1,ch1,3,3,50,50,0.9638680006305378,0.940374838783802,0.966952832022649,0.9951466525516117,0.9792183247343373,0.9355502203924128,0.9562868025737857,0.9402871741902186,0.9410109070524789,0.9316645967635393,0.9316645967635393,0.9550360349695375
53,ch2,ch2,3,3,50,50,0.9999754442436473,0.9999832988806355,0.9999880747707246,0.9999934305368468,0.999979363396255,0.9999890231777052,0.999992719211677,0.999989778809901,0.9999947735592496,0.9999949909486066,0.9999754442436473,0.9999880897535247
54,ch1,ch1,1,1,6,6,0.9872450363182642,0.9590467581463772,0.9446967956347527,0.9562948823173801,0.971764785664916,0.9966907753207392,0.9863346162703799,0.9507830911982696,0.9811249987222603,0.9766816970899794,0.9446967956347527,0.9710663436683319
55,ch2,ch2,1,1,6,6,0.9999433945189348,0.9999674732837132,0.9999829111797305,0.9999935218766771,0.9999666788380556,0.9999841862565827,0.9999951733556094,0.9999833087412506,0.999993728171551,0.9999936063791309,0.9999433945189348,0.9999803982601236
56,ch1,ch1,2,2,6,6,0.9668350299960387,0.9681940525554189,0.9790685250311972,0.9883147331643347,0.9838822658055669,0.9689880862139314,0.9666738439248603,0.9577441608948478,0.966096299321177,0.9737724471614942,0.9577441608948478,0.9719569444068867
57,ch2,ch2,2,2,6,6,0.9999693870180758,0.9999806809339196,0.9999896886300925,0.9999937926804519,0.9999809718562167,0.9999874560227592,0.9999962980799331,0.9999897658575192,0.9999946860985471,0.999996698948769,0.9999693870180758,0.9999879426126285
58,ch1,ch1,3,3,6,6,0.9919646151853516,0.9634611584404891,0.9979646186163994,0.9548647309873884,0.9545249312162765,0.9915580738982755,0.9541689290376005,0.9854766496378815,0.9647397749388691,0.9595735240872657,0.9541689290376005,0.9718297006045796
59,ch2,ch2,3,3,6,6,0.999874425369297,0.9998797931427048,0.9999115847815887,0.9999339800157871,0.9999740706688202,0.9999808278174973,0.99998877755975,0.9999884134855468,0.9999943133910913,0.9999935046988135,0.999874425369297,0.9999519690930898
